,Date,Symbol,Direction,Shares
261,2019-08-09,DIS,BUY,1000
262,2019-08-13,DIS,SELL,1000
263,2019-08-14,DIS,BUY,1000
264,2019-08-15,DIS,SELL,1000
265,2019-08-16,DIS,BUY,1000
266,2019-08-20,DIS,SELL,1000
267,2019-08-21,DIS,SELL,1000
268,2019-08-27,DIS,BUY,1000
269,2019-08-28,DIS,SELL,1000
270,2019-09-03,DIS,BUY,1000
271,2019-09-04,DIS,BUY,1000
272,2019-09-05,DIS,SELL,1000
273,2019-09-06,DIS,BUY,1000
274,2019-09-09,DIS,BUY,1000
275,2019-09-18,DIS,SELL,1000
276,2019-09-19,DIS,BUY,1000
277,2019-09-20,DIS,BUY,1000
278,2019-09-23,DIS,SELL,1000
279,2019-09-24,DIS,BUY,1000
280,2019-09-26,DIS,SELL,1000
281,2019-09-27,DIS,BUY,1000
282,2019-09-30,DIS,SELL,1000
283,2019-10-01,DIS,BUY,1000
284,2019-10-02,DIS,SELL,1000
285,2019-10-03,DIS,BUY,1000
286,2019-10-07,DIS,SELL,1000
287,2019-10-08,DIS,SELL,1000
288,2019-10-09,DIS,BUY,1000
289,2019-10-10,DIS,SELL,1000
290,2019-10-11,DIS,BUY,1000
291,2019-10-14,DIS,SELL,1000
292,2019-10-16,DIS,BUY,1000
293,2019-10-18,DIS,SELL,1000
294,2019-10-21,DIS,BUY,1000
295,2019-10-22,DIS,SELL,1000
296,2019-10-25,DIS,BUY,1000
297,2019-10-28,DIS,BUY,1000
298,2019-10-31,DIS,SELL,1000
299,2019-11-05,DIS,BUY,1000
300,2019-11-11,DIS,SELL,1000
301,2019-11-12,DIS,BUY,1000
302,2019-11-13,DIS,SELL,1000
303,2019-11-14,DIS,BUY,1000
304,2019-11-15,DIS,SELL,1000
305,2019-11-18,DIS,BUY,1000
306,2019-11-20,DIS,SELL,1000
307,2019-11-22,DIS,BUY,1000
308,2019-11-26,DIS,SELL,1000
309,2019-12-02,DIS,BUY,1000
310,2019-12-03,DIS,SELL,1000
311,2019-12-04,DIS,BUY,1000
312,2019-12-05,DIS,SELL,1000
313,2019-12-06,DIS,SELL,1000
314,2019-12-09,DIS,BUY,1000
315,2019-12-12,DIS,SELL,1000
316,2019-12-13,DIS,BUY,1000
317,2019-12-16,DIS,SELL,1000
318,2019-12-20,DIS,BUY,1000
319,2019-12-23,DIS,BUY,1000
320,2019-12-27,DIS,SELL,1000
321,2019-12-31,DIS,BUY,1000
